.\pictureDatabase\img (127).jpg~10324,2,0,0,5502,79,0,0,44,0,0,0,0,0,0,0,970,44,0,0,2516,1556,0,0,912,464,21,0,2,0,0,0,2019,1102,0,0,161,2281,47,0,295,759,360,1,139,156,148,8,851,1088,0,0,3,2125,402,0,0,52,857,42,20,87,274,587
.\pictureDatabase\img (128).jpg~3291,277,18,0,8054,47,0,0,1,0,0,0,0,0,0,0,40,228,875,41,7039,1536,351,10,2148,1936,62,0,3,0,0,0,0,1,75,141,10,75,695,1668,436,1976,1510,544,100,241,397,92,0,0,0,0,0,0,1,8,1,0,37,372,10,30,266,1657
.\pictureDatabase\img (129).jpg~10143,3,0,0,2957,201,0,0,327,98,0,0,0,0,0,0,5504,7,0,0,992,283,18,0,645,778,187,4,8,8,10,0,1430,40,0,0,2072,2793,73,0,2,243,269,10,0,0,119,134,0,0,0,0,0,2,4,0,0,5,61,5,0,0,8,6857
.\pictureDatabase\img (13).jpg~10049,833,631,42,5,234,642,818,0,0,6,16,0,0,0,0,5248,550,0,0,1403,1432,134,1,0,5,27,0,0,0,0,0,1423,170,0,0,963,979,13,0,30,763,1148,6,0,1,15,2,12,0,0,0,75,22,1,0,138,483,3500,2,42,724,3547,165
.\pictureDatabase\img (130).jpg~16242,168,16,0,6226,17,0,0,9,0,0,0,0,0,0,0,14,279,1056,0,3720,1115,1589,1,1185,340,6,0,5,0,0,0,0,0,0,0,1,19,332,21,401,609,487,79,207,63,98,4,0,0,0,0,0,0,0,0,5,2,14,12,69,61,229,1599
.\pictureDatabase\img (131).jpg~8888,47,0,0,5667,639,0,0,8,0,0,0,0,0,0,0,996,927,0,0,2807,4881,89,0,784,815,226,0,0,0,0,0,0,719,97,0,0,865,1479,1,43,1289,1904,64,24,25,205,227,0,0,0,0,0,0,181,10,0,0,131,356,1,9,85,1811
.\pictureDatabase\img (132).jpg~10655,1,0,0,3324,65,0,0,0,0,0,0,0,0,0,0,2636,17,0,0,2056,2549,3,0,538,2683,29,0,0,0,0,0,4629,553,2,0,64,764,160,0,27,494,443,1,6,6,37,4,525,678,596,12,12,460,716,71,0,79,583,319,5,1,60,437
.\pictureDatabase\img (133).jpg~16840,629,0,0,3463,3727,129,0,0,4,1,0,0,0,0,0,76,86,6,0,1410,2018,364,0,72,636,222,0,0,0,0,0,0,0,0,0,183,106,45,0,861,1069,449,107,2,21,73,6,0,0,0,0,0,0,0,0,171,242,52,124,36,517,1475,1078
.\pictureDatabase\img (134).jpg~13622,148,16,0,3895,2,0,0,0,0,0,0,0,0,0,0,259,994,641,136,3995,1271,409,50,2756,852,2,0,0,0,0,0,0,0,8,22,15,177,1697,993,386,1209,402,583,5,275,224,0,0,0,0,0,0,1,1,5,0,8,53,781,0,4,83,320
.\pictureDatabase\img (135).jpg~6885,44,0,0,1762,2110,2,0,0,26,0,0,0,0,0,0,2760,601,0,0,588,1525,183,0,170,171,251,6,0,0,0,0,380,2038,117,0,111,3898,1524,24,43,1182,4205,223,1,39,262,75,0,0,0,0,0,5,73,10,0,24,1846,1029,0,6,389,1712
.\pictureDatabase\img (136).jpg~7033,1367,21,0,1008,115,0,0,0,0,0,0,0,0,0,0,177,4795,5515,5,227,877,1119,8,20,131,39,0,0,0,0,0,0,2,893,78,17,185,4892,4678,8,52,337,754,0,0,44,31,0,0,0,0,0,0,0,266,0,16,56,1185,0,0,32,317
.\pictureDatabase\img (137).jpg~573,0,0,0,196,48,0,0,0,0,0,0,0,0,0,0,1256,31,0,0,546,1174,0,0,14,122,0,0,0,0,0,0,1628,8451,1268,0,71,333,158,0,4,810,910,1,1,2,23,1,4,1517,7710,902,22,131,1942,2665,6,110,377,701,1,3,377,2211
.\pictureDatabase\img (138).jpg~22706,35,0,0,2364,24,0,0,0,0,0,0,0,0,0,0,1418,24,0,0,2217,2087,30,0,475,2914,56,0,0,0,0,0,0,0,0,0,0,152,1,0,3,894,874,15,0,1,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
.\pictureDatabase\img (139).jpg~20998,25,0,0,2535,51,0,0,2,0,0,0,0,0,0,0,473,31,0,0,2528,4246,40,0,140,771,80,0,0,0,0,0,0,0,0,0,2,327,7,0,12,240,2040,51,0,0,51,47,0,0,0,0,0,0,0,0,0,1,110,3,0,0,56,1433
